keywords,tokens
cropping calendars,['calendar' 'crop']
cropping date change,['crop' 'date']
cropping intensity,['crop']
cropping pattern,['crop' 'pattern']
cropping pattern change,['crop' 'pattern']
cropping patterns,['crop' 'pattern']
cropping practices,['crop' 'practic']
cropping season,['crop' 'season']
cropping system,['crop']
cropping systems,['crop' 'system']
cropping timing,['crop' 'time']
cropping zones,['crop' 'zone']
crops,['crop']
crops producers,['crop' 'produc']
cropwat model,['model']
cross border climate impacts,['border' 'climat' 'cross' 'impact']
cross border collaboration,['border' 'cross']
cross border efforts,['border' 'cross' 'effort']
cross border impacts,['border' 'cross' 'impact']
cross country analysis,['countri' 'cross']
cross disciplinary linkages,['cross']
cross domain synergy,['cross' 'domain' 'synergi']
cross entropy downscaling model,['cross' 'model']
cross fertilisation,['cross' 'fertilis']
cross jurisdictional,['cross' 'jurisdict']
cross level risks,['cross' 'level' 'risk']
cross model,['cross' 'model']
cross national boundary databases,['cross' 'databas' 'nation']
cross scale,['cross' 'scale']
cross scale challenges,['cross' 'scale']
cross scale dynamics,['cross' 'scale']
cross scale system dependencies,['cross' 'depend' 'scale']
cross sectional design,['cross' 'design' 'section']
cross sectional scaling,['cross' 'scale' 'section']
cross sector,['cross' 'sector']
cross sector coordinated planning,['coordin' 'cross' 'plan' 'sector']
cross sector coordination,['coordin' 'cross' 'sector']
cross sector interaction,['cross' 'interact' 'sector']
cross sectoral,['cross' 'sector']
cross sectoral adaptation,['adapt' 'cross' 'sector']
cross sectoral analysis,['cross' 'sector']
cross sectoral assessment,['assess' 'cross' 'sector']
cross sectoral collaborations,['cross' 'sector']
cross sectoral coordination,['coordin' 'cross' 'sector']
cross sectoral decision making,['cross' 'decis' 'make' 'sector']
cross sectoral design,['cross' 'design' 'sector']
cross sectoral impacts,['cross' 'impact' 'sector']
cross sectoral integration,['cross' 'integr' 'sector']
cross sectoral interactions,['cross' 'interact' 'sector']
cross sectoral partnerships,['cross' 'partnership' 'sector']
cross sectoral planning,['cross' 'plan' 'sector']
cross sectoral policies,['cross' 'polici' 'sector']
cross sectoral risks,['cross' 'risk' 'sector']
cross sectoral strategies,['cross' 'sector' 'strategi']
cross sectorial partnerships,['cross' 'partnership' 'sectori']
cross sectorial planning,['cross' 'plan' 'sectori']
cross site learning,['cross' 'learn' 'site']
crowdsourcing geospatial data,['data']
crown estate scotland,['estat']
cru,['cru']
cru ts,['cru']
cryosphere,['cryospher']
cscce community participation model,['communiti' 'cscce' 'model']
csiro mk3 6 0,['csiro']
csm ceres wheat,['cere' 'csm' 'wheat']
csv,['csv']
cultivar,['cultivar']
cultivar shift,['cultivar' 'shift']
cultivars,['cultivar']
cultural consequences,['consequ']
cultural contexts,['context']
cultural heritage,['heritag']
cultural historical activity theory chat,['activ' 'chat']
cultural identities,['ident']
cultural identity,['ident']
cultural pillars,['pillar']
cultural rights,['right']
cultural sites,['site']
cultural theory of risk,['risk']
cultural values,['valu']
cultural worldviews,['worldview']
culturally important food sources,['food' 'import' 'sourc']
culturally sensitive,['sensit']
cultural–ecological tourism,['cultural-ecolog' 'tourism']
culture adaptive trajectories,['adapt' 'trajectori']
culture and learning,['learn']
culture ecosystems,['ecosystem']
culture of adapting,['adapt']
cumulative assessment,['assess']
cumulative climate impacts,['climat' 'impact']
cumulative coverage,['coverag']
cumulative impact assessments,['assess' 'impact']
cumulative impacts,['impact']
cumulative reward,['reward']
currency volatility,['currenc' 'volatil']
curtailment,['curtail']
custom script,['custom' 'script']
customer class scale,['class' 'custom' 'scale']
customers,['custom']
customs,['custom']
cyanobacterial blooms,['bloom']
cyberattacks,['cyberattack']
cybersecurity failure,['cybersecur']
cycle cultivar,['cultivar']
cyclone resilient development,['develop' 'resili']
cyclone sidr,['sidr']
cyclone strikes,['strike']
cypripedium candidum,['candidum']
cyprus,['cyprus']
czech republic,['republ']
d diagram,['diagram']
da do basin,['basin']
daily reservoir operations,['oper' 'reservoir']
daily reversals,['revers']
daily weather,['weather']
dairy cattle,['dairi']
dairy farming,['dairi' 'farm']
dairy farms,['dairi' 'farm']
dairy gross margin,['dairi' 'gross' 'margin']
dakar,['dakar']
dam attributes,['dam']
dam building,['build' 'dam']
dam construction,['construct' 'dam']
dam development,['dam' 'develop']
dam management,['dam' 'manag']
dam managers,['dam' 'manag']
dam storage,['dam' 'storag']
damage assessment,['assess']
damage case,['case']
damage cost analysis,['cost']
damage cost assessment,['assess' 'cost']
damage costs,['cost']
damage function,['function']
damage functions,['function']
damage modeling,['model']
damage models,['model']
damage rates,['rate']
damage reduction,['reduct']
damage stage relationship,['relationship' 'stage']
damage threshold,['threshold']
damage to urban infrastructure,['infrastructur' 'urban']
damagescanner model,['damagescann' 'model']
damaging storm events,['event' 'storm']
dams,['dam']
dance4water model,['model']
dangerous anthropogenic interference,['danger' 'interfer']
danish case study,['case' 'studi']
danish spring barley,['barley']
danish water management,['manag' 'water']
danube basin,['basin' 'danub']
data,['data']
data access,['access' 'data']
data accessibility,['access' 'data']
data aggregation,['aggreg' 'data']
data analytics,['analyt' 'data']
data analytics and computing,['analyt' 'comput' 'data']
data and information,['data' 'inform']
data and models,['data' 'model']
data assimilation,['data']
data availability,['avail' 'data']
data collection,['collect' 'data']
data coverage,['coverag' 'data']
data deposition,['data' 'deposit']
data driven approaches,['approach' 'data' 'driven']
data driven decision making,['data' 'decis' 'driven' 'make']
data driven reservoir simulation,['data' 'driven' 'reservoir' 'simul']
data envelopment analyses,['analys' 'data' 'envelop']
data envelopment analysis,['data' 'envelop']
data exchange platform,['data' 'platform']
data extraction,['data' 'extract']
data gaps,['data' 'gap']
data integration,['data' 'integr']
data limitations,['data' 'limit']
data loss,['data' 'loss']
data management,['data' 'manag']
data mining,['data' 'mine']
data needs,['data' 'need']
data pack,['data' 'pack']
data preparation,['data' 'prepar']
data processing,['data' 'process']
data product,['data' 'product']
data quality,['data']
data record size,['data' 'record' 'size']
data required,['data' 'requir']
data requirements,['data' 'requir']
data scales,['data' 'scale']
data scarce contexts,['context' 'data']
data science,['data' 'scienc']
data science based simulations,['base' 'data' 'scienc' 'simul']
data services,['data' 'servic']
data set,['data' 'set']
data sets,['data' 'set']
data sharing,['data' 'share']
data sources,['data' 'sourc']
data standardization,['data' 'standard']
data statistics,['data' 'statist']
data stewardship,['data' 'stewardship']
data storage,['data' 'storag']
data synthesis,['data' 'synthesi']
data tracing,['data' 'trace']
data tracking,['data' 'track']
data treatment,['data' 'treatment']
data types,['data' 'type']
data validation,['data' 'valid']
data visualization,['data' 'visual']
data visualization tool,['data' 'tool' 'visual']
database,['databas']
database management,['databas' 'manag']
dataset,['dataset']
datasets,['dataset']
de globalising future,['futur' 'globalis']
debris cover,['cover' 'debri']
debris flow risk,['debri' 'flow' 'risk']
debt crises,['crise' 'debt']
decadal  to century long timescales,['long' 'timescal']
decadal prediction,['predict']
decadal projections,['project']
decadal time intervals,['interv' 'time']
decadal time scale,['scale' 'time']
decadal timescales,['timescal']
decadal variability,['variabl']
decarbonisation,['decarbonis']
decarbonise economy,['decarbonis' 'economi']
decarbonization,['decarbon']
decarbonization challenge,['decarbon']
decarbonization rates,['decarbon' 'rate']
decarbonization target,['decarbon' 'target']
decarbonization targets,['decarbon' 'target']
decarbonize,['decarbon']
decarbonizing energy system,['decarbon']
decentralization,['decentr']
decentralized scheme,['decentr' 'scheme']
decentralized solutions,['decentr']
deciders,['decid']
decipher,['deciph']
decision,['decis']
decision agents,['agent' 'decis']
decision analysis,['decis']
decision analytic framework,['analyt' 'decis' 'framework']
decision analytical approach,['analyt' 'approach' 'decis']
decision analytical model,['analyt' 'decis' 'model']
decision center for a desert city dcdc,['center' 'citi' 'decis' 'desert']
decision contexts,['context' 'decis']
decision driven metrics,['decis' 'driven' 'metric']
decision focussed approach,['approach' 'decis' 'focuss']
decision framework,['decis' 'framework']
decision guidance,['decis' 'guidanc']
decision levels,['decis' 'level']
decision levers,['decis' 'lever']
decision makers,['decis' 'maker']
decision making,['decis' 'make']
decision making attributes,['decis' 'make']
decision making framework,['decis' 'framework' 'make']
decision making frameworks,['decis' 'framework' 'make']
decision making methods,['decis' 'make' 'method']
decision making model,['decis' 'make' 'model']
decision making process,['decis' 'make' 'process']
decision making processes,['decis' 'make' 'process']
decision making products,['decis' 'make' 'product']
decision making rationale,['decis' 'make' 'rational']
decision making scheme,['decis' 'make' 'scheme']
decision making strategies,['decis' 'make' 'strategi']
decision making support,['decis' 'make' 'support']
decision making support tools,['decis' 'make' 'support' 'tool']
decision making tool,['decis' 'make' 'tool']
decision making tools,['decis' 'make' 'tool']
decision making under deep uncertainty,['decis' 'deep' 'make']
decision making under deep uncertainty dmdu,['decis' 'deep' 'make']
decision model,['decis' 'model']
decision models,['decis' 'model']
decision outcomes,['decis']
decision pathways,['decis' 'pathway']
decision processes,['decis' 'process']
decision relevant indicators,['decis']
decision relevant outcomes,['decis']
decision relevant performance measures,['decis' 'measur' 'perform']
decision relevant uncertainties,['decis']
decision risks,['decis' 'risk']
decision rules,['decis' 'rule']
decision scaling,['decis' 'scale']
decision science,['decis' 'scienc']
decision sciences,['decis' 'scienc']
decision space,['decis' 'space']
decision space visualization,['decis' 'space' 'visual']
decision stakes,['decis' 'stake']
decision support,['decis' 'support']
decision support framework,['decis' 'framework' 'support']
decision support frameworks,['decis' 'framework' 'support']
decision support method,['decis' 'method' 'support']
decision support model,['decis' 'model' 'support']
