lemmas,label
dynamic operating policy,complexity science
dynamic process,complexity science
dynamic programming,complexity science
dynamic resource use,complexity science
dynamic seasonal climate forecast,complexity science
dynamic set,socio-ecological systems
dynamic simulation model,socio-ecological systems
duck rearing,socio-ecological systems
dune habitat,socio-ecological systems
dune,socio-ecological systems
dutch arable farming,socio-ecological systems
dwell type,socio-ecological systems
dyke,socio-ecological systems
economic hydrological behavioral modelling,earth system modeling
economic impact adaptation model,integrated assessment modeling
economic social dependence,complexity science
economic aspect,economics
economic assessment,economics
economic benefit,complexity science
economic benefit pattern,complexity science
economic capability,complexity science
economic capacity,complexity science
economic evaluation,complexity science
economic concept,complexity science
economic condition,complexity science
economic consequence,complexity science
economic consequence warm,complexity science
economic context,complexity science
economic cost,complexity science
economic crisis,complexity science
economic criterion,complexity science
economic damage model,complexity science
economic decision making,complexity science
economic decision,complexity science
economic demand curve,complexity science
economic development,complexity science
economic development model,complexity science
economic development plan,complexity science
economic disparity,complexity science
economic disruption,complexity science
economic diversification,complexity science
economic downturn,complexity science
economic driver,complexity science
economic effect,complexity science
